estado,mover_adelante,mover_atras,girar_izquierda,girar_derecha,esperar
"(6, 14, False)",0,0,0,0,0
"(7, 0, True)",0.0,0.0,0.0,0.0,0.0
"(7, 0, False)",0.0,0.0,0.0,0.0,0.0
"(7, 1, True)",0,0,0,0,0
"(7, 1, False)",0,0,0,0,0
"(7, 2, True)",0,0,0,0,0
"(7, 2, False)",0,0,0,0,0
"(7, 3, True)",0,0,0,0,0
"(7, 3, False)",0,0,0,0,0
"(7, 4, True)",0,0,0,0,0
"(7, 4, False)",0,0,0,0,0
"(7, 5, True)",0,0,0,0,0
"(7, 5, False)",0,0,0,0,0
"(7, 6, True)",0,0,0,0,0
"(7, 6, False)",0,0,0,0,0
"(7, 7, True)",0,0,0,0,0
"(7, 7, False)",0,0,0,0,0
"(7, 8, True)",0,0,0,0,0
"(7, 8, False)",0,0,0,0,0
"(7, 9, True)",0,0,0,0,0
"(7, 9, False)",0,0,0,0,0
"(7, 10, True)",0,0,0,0,0
"(7, 10, False)",0,0,0,0,0
"(7, 11, True)",0,0,0,0,0
"(7, 11, False)",0,0,0,0,0
"(7, 12, True)",0,0,0,0,0
"(7, 12, False)",0,0,0,0,0
"(7, 13, True)",0,0,0,0,0
"(7, 13, False)",0,0,0,0,0
"(7, 14, True)",0,0,0,0,0
"(7, 14, False)",0,0,0,0,0
"(8, 0, True)",0.0,0.0,0.0,0.0,0.0
"(8, 0, False)",0.0,0.0,0.0,0.0,0.0
"(8, 1, True)",0,0,0,0,0
"(8, 1, False)",0,0,0,0,0
"(8, 2, True)",0,0,0,0,0
"(8, 2, False)",0,0,0,0,0
"(8, 3, True)",0,0,0,0,0
"(8, 3, False)",0,0,0,0,0
"(8, 4, True)",0,0,0,0,0
"(8, 4, False)",0,0,0,0,0
"(8, 5, True)",0,0,0,0,0
"(8, 5, False)",0,0,0,0,0
"(8, 6, True)",0,0,0,0,0
"(8, 6, False)",0,0,0,0,0
"(8, 7, True)",0,0,0,0,0
"(8, 7, False)",0,0,0,0,0
"(8, 8, True)",0,0,0,0,0
"(8, 8, False)",0,0,0,0,0
"(8, 9, True)",0,0,0,0,0
"(8, 9, False)",0,0,0,0,0
"(8, 10, True)",0,0,0,0,0
"(8, 10, False)",0,0,0,0,0
"(8, 11, True)",0,0,0,0,0
"(8, 11, False)",0,0,0,0,0
"(8, 12, True)",0,0,0,0,0
"(8, 12, False)",0,0,0,0,0
"(8, 13, True)",0,0,0,0,0
"(8, 13, False)",0,0,0,0,0
"(8, 14, True)",0,0,0,0,0
"(8, 14, False)",0,0,0,0,0
"(9, 0, True)",0.0,0.0,0.0,0.0,0.0
"(9, 0, False)",0.0,0.0,0.0,0.0,0.0
"(9, 1, True)",0,0,0,0,0
"(9, 1, False)",0,0,0,0,0
"(9, 2, True)",0,0,0,0,0
"(9, 2, False)",0,0,0,0,0
"(9, 3, True)",0,0,0,0,0
"(9, 3, False)",0,0,0,0,0
"(9, 4, True)",0,0,0,0,0
"(9, 4, False)",0,0,0,0,0
"(9, 5, True)",0,0,0,0,0
"(9, 5, False)",0,0,0,0,0
"(9, 6, True)",0,0,0,0,0
"(9, 6, False)",0,0,0,0,0
"(9, 7, True)",0,0,0,0,0
"(9, 7, False)",0,0,0,0,0
"(9, 8, True)",0,0,0,0,0
"(9, 8, False)",0,0,0,0,0
"(9, 9, True)",0,0,0,0,0
"(9, 9, False)",0,0,0,0,0
"(9, 10, True)",0,0,0,0,0
"(9, 10, False)",0,0,0,0,0
"(9, 11, True)",0,0,0,0,0
"(9, 11, False)",0,0,0,0,0
"(9, 12, True)",0,0,0,0,0
"(9, 12, False)",0,0,0,0,0
"(9, 13, True)",0,0,0,0,0
"(9, 13, False)",0,0,0,0,0
"(9, 14, True)",0,0,0,0,0
"(9, 14, False)",0,0,0,0,0
"(10, 0, True)",0.0,0.0,0.0,0.0,0.0
"(10, 0, False)",0.0,0.0,0.0,0.0,0.0
"(10, 1, True)",0,0,0,0,0
"(10, 1, False)",0,0,0,0,0
"(10, 2, True)",0,0,0,0,0
"(10, 2, False)",0,0,0,0,0
"(10, 3, True)",0,0,0,0,0
"(10, 3, False)",0,0,0,0,0
"(10, 4, True)",0,0,0,0,0
"(10, 4, False)",0,0,0,0,0
"(10, 5, True)",0,0,0,0,0
"(10, 5, False)",0,0,0,0,0
"(10, 6, True)",0,0,0,0,0
"(10, 6, False)",0,0,0,0,0
"(10, 7, True)",0,0,0,0,0
"(10, 7, False)",0,0,0,0,0
"(10, 8, True)",0,0,0,0,0
"(10, 8, False)",0,0,0,0,0
"(10, 9, True)",0,0,0,0,0
"(10, 9, False)",0,0,0,0,0
"(10, 10, True)",0,0,0,0,0
"(10, 10, False)",0,0,0,0,0
"(10, 11, True)",0,0,0,0,0
"(10, 11, False)",0,0,0,0,0
"(10, 12, True)",0,0,0,0,0
"(10, 12, False)",0,0,0,0,0
"(10, 13, True)",0,0,0,0,0
"(10, 13, False)",0,0,0,0,0
"(10, 14, True)",0,0,0,0,0
"(10, 14, False)",0,0,0,0,0
"(11, 0, True)",0.0,0.0,0.0,0.0,0.0
"(11, 0, False)",0.0,0.0,0.0,0.0,0.0
"(11, 1, True)",0,0,0,0,0
"(11, 1, False)",0,0,0,0,0
"(11, 2, True)",0,0,0,0,0
"(11, 2, False)",0,0,0,0,0
"(11, 3, True)",0,0,0,0,0
"(11, 3, False)",0,0,0,0,0
"(11, 4, True)",0,0,0,0,0
"(11, 4, False)",0,0,0,0,0
"(11, 5, True)",0,0,0,0,0
"(11, 5, False)",0,0,0,0,0
"(11, 6, True)",0,0,0,0,0
"(11, 6, False)",0,0,0,0,0
"(11, 7, True)",0,0,0,0,0
"(11, 7, False)",0,0,0,0,0
"(11, 8, True)",0,0,0,0,0
"(11, 8, False)",0,0,0,0,0
"(11, 9, True)",0,0,0,0,0
"(11, 9, False)",0,0,0,0,0
"(11, 10, True)",0,0,0,0,0
"(11, 10, False)",0,0,0,0,0
"(11, 11, True)",0,0,0,0,0
"(11, 11, False)",0,0,0,0,0
"(11, 12, True)",0,0,0,0,0
"(11, 12, False)",0,0,0,0,0
"(11, 13, True)",0,0,0,0,0
"(11, 13, False)",0,0,0,0,0
"(11, 14, True)",0,0,0,0,0
"(11, 14, False)",0,0,0,0,0
"(12, 0, True)",0.0,0.0,0.0,0.0,0.0
"(12, 0, False)",0.0,0.0,0.0,0.0,0.0
"(12, 1, True)",0,0,0,0,0
"(12, 1, False)",0,0,0,0,0
"(12, 2, True)",0,0,0,0,0
"(12, 2, False)",0,0,0,0,0
"(12, 3, True)",0,0,0,0,0
"(12, 3, False)",0,0,0,0,0
"(12, 4, True)",0,0,0,0,0
"(12, 4, False)",0,0,0,0,0
"(12, 5, True)",0,0,0,0,0
"(12, 5, False)",0,0,0,0,0
"(12, 6, True)",0,0,0,0,0
"(12, 6, False)",0,0,0,0,0
"(12, 7, True)",0,0,0,0,0
"(12, 7, False)",0,0,0,0,0
"(12, 8, True)",0,0,0,0,0
"(12, 8, False)",0,0,0,0,0
"(12, 9, True)",0,0,0,0,0
"(12, 9, False)",0,0,0,0,0
"(12, 10, True)",0,0,0,0,0
"(12, 10, False)",0,0,0,0,0
"(12, 11, True)",0,0,0,0,0
"(12, 11, False)",0,0,0,0,0
"(12, 12, True)",0,0,0,0,0
"(12, 12, False)",0,0,0,0,0
"(12, 13, True)",0,0,0,0,0
"(12, 13, False)",0,0,0,0,0
"(12, 14, True)",0,0,0,0,0
"(12, 14, False)",0,0,0,0,0
"(13, 0, True)",0.0,0.0,0.0,0.0,0.0
"(13, 0, False)",0.0,0.0,0.0,0.0,0.0
"(13, 1, True)",0,0,0,0,0
"(13, 1, False)",0,0,0,0,0
"(13, 2, True)",0,0,0,0,0
"(13, 2, False)",0,0,0,0,0
"(13, 3, True)",0,0,0,0,0
"(13, 3, False)",0,0,0,0,0
"(13, 4, True)",0,0,0,0,0
"(13, 4, False)",0,0,0,0,0
"(13, 5, True)",0,0,0,0,0
"(13, 5, False)",0,0,0,0,0
"(13, 6, True)",0,0,0,0,0
"(13, 6, False)",0,0,0,0,0
